1
-32,160,198,1656350646
-32,156,201,1656350646
-34,161,198,1656350646
-34,159,200,1656350646
-29,162,200,1656350646
-34,161,200,1656350646
-29,159,198,1656350646
-35,164,198,1656350646
-36,159,198,1656350646
-34,163,198,1656350646
-32,161,200,1656350646
-34,160,198,1656350646
-37,162,200,1656350646
-30,158,199,1656350646
-30,160,199,1656350646
-32,160,199,1656350647
-31,158,200,1656350647
-33,162,198,1656350647
-35,161,200,1656350647
-31,160,202,1656350647
-34,165,197,1656350647
-33,159,200,1656350647
-36,160,201,1656350647
-31,162,199,1656350647
-33,161,199,1656350647
-29,160,198,1656350647
-35,159,200,1656350647
-35,157,199,1656350647
-33,159,199,1656350647
-31,162,200,1656350647
-33,163,198,1656350648
-32,158,201,1656350648
-32,163,200,1656350648
-32,165,199,1656350648
-34,159,201,1656350648
-33,158,200,1656350648
-29,160,200,1656350648
-33,161,198,1656350648
-33,162,197,1656350648
-35,159,198,1656350648
-33,160,198,1656350648
-34,159,197,1656350648
-34,159,201,1656350648
-34,160,199,1656350648
-33,160,199,1656350648
-32,164,199,1656350648
-34,156,199,1656350648
-31,160,198,1656350648
-34,161,199,1656350648
-29,161,200,1656350648
-33,160,199,1656350648
-32,159,200,1656350648
-33,161,199,1656350648
-35,160,201,1656350648
-33,162,201,1656350648
-37,160,198,1656350648
-32,160,201,1656350648
-36,162,199,1656350648
-34,157,199,1656350648
-32,161,199,1656350648
-32,163,201,1656350649
-31,159,200,1656350649
-33,159,198,1656350649
-32,162,199,1656350649
-34,159,199,1656350649
-34,160,200,1656350649
-31,161,198,1656350649
-29,161,201,1656350649
-35,161,202,1656350649
-28,160,201,1656350649
-31,159,199,1656350649
-30,164,199,1656350649
-34,159,199,1656350649
-33,162,200,1656350649
-30,161,199,1656350649
-31,158,200,1656350650
-35,158,198,1656350650
-33,155,200,1656350650
-34,161,197,1656350650
-30,159,197,1656350650
-32,158,199,1656350650
-35,160,201,1656350650
-32,159,199,1656350650
-34,159,198,1656350650
-34,161,200,1656350650
-31,159,202,1656350650
-33,158,198,1656350650
-32,160,198,1656350650
-31,160,201,1656350650
-35,160,202,1656350650
-32,156,198,1656350650
-34,162,199,1656350650
-32,164,200,1656350650
-34,162,195,1656350650
